filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2009_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2009,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2009_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2009,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2009_MALE_Y2026M03D18.CSV,BURDEN,MALE,2009,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2010_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2010,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2010_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2010,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2010_MALE_Y2026M03D18.CSV,BURDEN,MALE,2010,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2011_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2011,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2011_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2011,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2011_MALE_Y2026M03D18.CSV,BURDEN,MALE,2011,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2012_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2012,2026-03-18,51.34
